language	lemma	form	recipe	tokens
nl	huis	huis	Dplus	huis
nl	huis	huizen	Dplus	huiz
nl	bedrijf	bedrijf	Dplus	bedrijf
nl	bedrijf	bedrijven	Dplus	bedrijv
nl	gemeente	gemeente	Dplus	gemeent
nl	gemeente	gemeentes	Dplus	gemeentes
nl	kind	kind	Dplus	kind
nl	kind	kinderen	Dplus	kinder
nl	stad	stad	Dplus	stad
nl	stad	steden	Dplus	sted
nl	boek	boek	Dplus	boek
nl	boek	boeken	Dplus	boek
nl	dorp	dorp	Dplus	dorp
nl	dorp	dorpen	Dplus	dorp
nl	café	café	Dplus	caf
nl	café	cafés	Dplus	cafes
nl	woning	woning	Dplus	woning
nl	woning	woningen	Dplus	woning
nl	woning	woningetje	Dplus	woningetj
pt	informação	informação	A	informaca
pt	informação	informacao	A	informaca
pt	informação	informações	A	informaco
pt	informação	informacoes	A	informaco
pt	administração	administração	A	administraca
pt	administração	administracao	A	administraca
pt	administração	administrações	A	administraco
pt	administração	administracoes	A	administraco
pt	café	café	A	caf
pt	café	cafés	A	caf
pt	coração	coração	A	coraca
pt	coração	coracao	A	coraca
pt	coração	corações	A	coraco
pt	coração	coracoes	A	coraco
pt	decisão	decisão	A	decisa
pt	decisão	decisao	A	decisa
pt	decisão	decisões	A	deciso
pt	decisão	decisoes	A	deciso
pt	questão	questão	A	questa
pt	questão	questao	A	questa
pt	questão	questões	A	questo
pt	questão	questoes	A	questo
pt	situação	situação	A	situaca
pt	situação	situacao	A	situaca
pt	situação	situações	A	situaco
pt	situação	situacoes	A	situaco
pt	país	país	A	pais
pt	país	pais	A	pais
pt	país	países	A	pais
pt	país	paises	A	pais
pt	número	número	A	numer
pt	número	numero	A	numer
pt	número	números	A	numer
pt	número	numeros	A	numer
pt	código	código	A	codig
pt	código	codigo	A	codig
pt	código	códigos	A	codig
pt	código	codigos	A	codig
pt	página	página	A	pagin
pt	página	pagina	A	pagin
pt	página	páginas	A	pagin
pt	página	paginas	A	pagin
pt	área	área	A	are
pt	área	area	A	are
pt	área	áreas	A	are
pt	área	areas	A	are
pt	história	história	A	histor
pt	história	historia	A	histor
pt	história	histórias	A	histor
pt	história	historias	A	histor
pt	família	família	A	famil
pt	família	familia	A	famil
pt	família	famílias	A	famil
pt	família	familias	A	famil
pt	documento	documento	A	document
pt	documento	documentos	A	document
pt	três	três	A	tres
pt	três	tres	A	tres
pt	cidade	cidade	A	cidad
pt	cidade	cidades	A	cidad
pt	exame	exame	A	exam
pt	exame	exames	A	exam
pt	informação	informação	Aplus	informaca
pt	informação	informacao	Aplus	informaca
pt	informação	informações	Aplus	informaco
pt	informação	informacoes	Aplus	informaco
pt	administração	administração	Aplus	administraca
pt	administração	administracao	Aplus	administraca
pt	administração	administrações	Aplus	administraco
pt	administração	administracoes	Aplus	administraco
pt	café	café	Aplus	caf
pt	café	cafés	Aplus	caf
pt	coração	coração	Aplus	coraca
pt	coração	coracao	Aplus	coraca
pt	coração	corações	Aplus	coraco
pt	coração	coracoes	Aplus	coraco
pt	decisão	decisão	Aplus	decisa
pt	decisão	decisao	Aplus	decisa
pt	decisão	decisões	Aplus	deciso
pt	decisão	decisoes	Aplus	deciso
pt	questão	questão	Aplus	questa
pt	questão	questao	Aplus	questa
pt	questão	questões	Aplus	questo
pt	questão	questoes	Aplus	questo
pt	situação	situação	Aplus	situaca
pt	situação	situacao	Aplus	situaca
pt	situação	situações	Aplus	situaco
pt	situação	situacoes	Aplus	situaco
pt	país	país	Aplus	pais
pt	país	pais	Aplus	pais
pt	país	países	Aplus	pais
pt	país	paises	Aplus	pais
pt	número	número	Aplus	numer
pt	número	numero	Aplus	numer
pt	número	números	Aplus	numer
pt	número	numeros	Aplus	numer
pt	código	código	Aplus	codig
pt	código	codigo	Aplus	codig
pt	código	códigos	Aplus	codig
pt	código	codigos	Aplus	codig
pt	página	página	Aplus	pagin
pt	página	pagina	Aplus	pagin
pt	página	páginas	Aplus	pagin
pt	página	paginas	Aplus	pagin
pt	área	área	Aplus	are
pt	área	area	Aplus	are
pt	área	áreas	Aplus	are
pt	área	areas	Aplus	are
pt	história	história	Aplus	histor
pt	história	historia	Aplus	histor
pt	história	histórias	Aplus	histor
pt	história	historias	Aplus	histor
pt	família	família	Aplus	famil
pt	família	familia	Aplus	famil
pt	família	famílias	Aplus	famil
pt	família	familias	Aplus	famil
pt	documento	documento	Aplus	document
pt	documento	documentos	Aplus	document
pt	três	três	Aplus	tres
pt	três	tres	Aplus	tres
pt	cidade	cidade	Aplus	cidad
pt	cidade	cidades	Aplus	cidad
pt	exame	exame	Aplus	exam
pt	exame	exames	Aplus	exam
pt	informação	informação	B	informaca
pt	informação	informacao	B	informaca
pt	informação	informações	B	informaco
pt	informação	informacoes	B	informaco
pt	administração	administração	B	administraca
pt	administração	administracao	B	administraca
pt	administração	administrações	B	administraco
pt	administração	administracoes	B	administraco
pt	café	café	B	caf
pt	café	cafés	B	caf
pt	coração	coração	B	coraca
pt	coração	coracao	B	coraca
pt	coração	corações	B	coraco
pt	coração	coracoes	B	coraco
pt	decisão	decisão	B	decisa
pt	decisão	decisao	B	decisa
pt	decisão	decisões	B	deciso
pt	decisão	decisoes	B	deciso
pt	questão	questão	B	questa
pt	questão	questao	B	questa
pt	questão	questões	B	questo
pt	questão	questoes	B	questo
pt	situação	situação	B	situaca
pt	situação	situacao	B	situaca
pt	situação	situações	B	situaco
pt	situação	situacoes	B	situaco
pt	país	país	B	pais
pt	país	pais	B	pais
pt	país	países	B	pais
pt	país	paises	B	pais
pt	número	número	B	numer
pt	número	numero	B	numer
pt	número	números	B	numer
pt	número	numeros	B	numer
pt	código	código	B	codig
pt	código	codigo	B	codig
pt	código	códigos	B	codig
pt	código	codigos	B	codig
pt	página	página	B	pagin
pt	página	pagina	B	pagin
pt	página	páginas	B	pagin
pt	página	paginas	B	pagin
pt	área	área	B	are
pt	área	area	B	are
pt	área	áreas	B	are
pt	área	areas	B	are
pt	história	história	B	histor
pt	história	historia	B	histor
pt	história	histórias	B	histor
pt	história	historias	B	histor
pt	família	família	B	famil
pt	família	familia	B	famil
pt	família	famílias	B	famil
pt	família	familias	B	famil
pt	documento	documento	B	document
pt	documento	documentos	B	document
pt	três	três	B	tres
pt	três	tres	B	tres
pt	cidade	cidade	B	cidad
pt	cidade	cidades	B	cidad
pt	exame	exame	B	exam
pt	exame	exames	B	exam
pt	informação	informação	Bplus	informaca
pt	informação	informacao	Bplus	informaca
pt	informação	informações	Bplus	informaco
pt	informação	informacoes	Bplus	informaco
pt	administração	administração	Bplus	administraca
pt	administração	administracao	Bplus	administraca
pt	administração	administrações	Bplus	administraco
pt	administração	administracoes	Bplus	administraco
pt	café	café	Bplus	caf
pt	café	cafés	Bplus	caf
pt	coração	coração	Bplus	coraca
pt	coração	coracao	Bplus	coraca
pt	coração	corações	Bplus	coraco
pt	coração	coracoes	Bplus	coraco
pt	decisão	decisão	Bplus	decisa
pt	decisão	decisao	Bplus	decisa
pt	decisão	decisões	Bplus	deciso
pt	decisão	decisoes	Bplus	deciso
pt	questão	questão	Bplus	questa
pt	questão	questao	Bplus	questa
pt	questão	questões	Bplus	questo
pt	questão	questoes	Bplus	questo
pt	situação	situação	Bplus	situaca
pt	situação	situacao	Bplus	situaca
pt	situação	situações	Bplus	situaco
pt	situação	situacoes	Bplus	situaco
pt	país	país	Bplus	pais
pt	país	pais	Bplus	pais
pt	país	países	Bplus	pais
pt	país	paises	Bplus	pais
pt	número	número	Bplus	numer
pt	número	numero	Bplus	numer
pt	número	números	Bplus	numer
pt	número	numeros	Bplus	numer
pt	código	código	Bplus	codig
pt	código	codigo	Bplus	codig
pt	código	códigos	Bplus	codig
pt	código	codigos	Bplus	codig
pt	página	página	Bplus	pagin
pt	página	pagina	Bplus	pagin
pt	página	páginas	Bplus	pagin
pt	página	paginas	Bplus	pagin
pt	área	área	Bplus	are
pt	área	area	Bplus	are
pt	área	áreas	Bplus	are
pt	área	areas	Bplus	are
pt	história	história	Bplus	histor
pt	história	historia	Bplus	histor
pt	história	histórias	Bplus	histor
pt	história	historias	Bplus	histor
pt	família	família	Bplus	famil
pt	família	familia	Bplus	famil
pt	família	famílias	Bplus	famil
pt	família	familias	Bplus	famil
pt	documento	documento	Bplus	document
pt	documento	documentos	Bplus	document
pt	três	três	Bplus	tres
pt	três	tres	Bplus	tres
pt	cidade	cidade	Bplus	cidad
pt	cidade	cidades	Bplus	cidad
pt	exame	exame	Bplus	exam
pt	exame	exames	Bplus	exam
pt	informação	informação	C	inform
pt	informação	informacao	C	informaca
pt	informação	informações	C	inform
pt	informação	informacoes	C	informaco
pt	administração	administração	C	administr
pt	administração	administracao	C	administraca
pt	administração	administrações	C	administr
pt	administração	administracoes	C	administraco
pt	café	café	C	caf
pt	café	cafés	C	cafes
pt	coração	coração	C	coraca
pt	coração	coracao	C	coraca
pt	coração	corações	C	coraco
pt	coração	coracoes	C	coraco
pt	decisão	decisão	C	decisa
pt	decisão	decisao	C	decisa
pt	decisão	decisões	C	deciso
pt	decisão	decisoes	C	deciso
pt	questão	questão	C	questa
pt	questão	questao	C	questa
pt	questão	questões	C	questo
pt	questão	questoes	C	questo
pt	situação	situação	C	situaca
pt	situação	situacao	C	situaca
pt	situação	situações	C	situaco
pt	situação	situacoes	C	situaco
pt	país	país	C	pais
pt	país	pais	C	pais
pt	país	países	C	pais
pt	país	paises	C	pais
pt	número	número	C	numer
pt	número	numero	C	numer
pt	número	números	C	numer
pt	número	numeros	C	numer
pt	código	código	C	codig
pt	código	codigo	C	codig
pt	código	códigos	C	codig
pt	código	codigos	C	codig
pt	página	página	C	pagin
pt	página	pagina	C	pagin
pt	página	páginas	C	pagin
pt	página	paginas	C	pagin
pt	área	área	C	are
pt	área	area	C	are
pt	área	áreas	C	are
pt	área	areas	C	are
pt	história	história	C	histor
pt	história	historia	C	histor
pt	história	histórias	C	histor
pt	história	historias	C	histor
pt	família	família	C	famil
pt	família	familia	C	famil
pt	família	famílias	C	famil
pt	família	familias	C	famil
pt	documento	documento	C	document
pt	documento	documentos	C	document
pt	três	três	C	tres
pt	três	tres	C	tres
pt	cidade	cidade	C	cidad
pt	cidade	cidades	C	cidad
pt	exame	exame	C	exam
pt	exame	exames	C	exam
pt	informação	informação	Cplus	inform
pt	informação	informacao	Cplus	informaca
pt	informação	informações	Cplus	inform
pt	informação	informacoes	Cplus	informaco
pt	administração	administração	Cplus	administr
pt	administração	administracao	Cplus	administraca
pt	administração	administrações	Cplus	administr
pt	administração	administracoes	Cplus	administraco
pt	café	café	Cplus	caf
pt	café	cafés	Cplus	cafes
pt	coração	coração	Cplus	coraca
pt	coração	coracao	Cplus	coraca
pt	coração	corações	Cplus	coraco
pt	coração	coracoes	Cplus	coraco
pt	decisão	decisão	Cplus	decisa
pt	decisão	decisao	Cplus	decisa
pt	decisão	decisões	Cplus	deciso
pt	decisão	decisoes	Cplus	deciso
pt	questão	questão	Cplus	questa
pt	questão	questao	Cplus	questa
pt	questão	questões	Cplus	questo
pt	questão	questoes	Cplus	questo
pt	situação	situação	Cplus	situaca
pt	situação	situacao	Cplus	situaca
pt	situação	situações	Cplus	situaco
pt	situação	situacoes	Cplus	situaco
pt	país	país	Cplus	pais
pt	país	pais	Cplus	pais
pt	país	países	Cplus	pais
pt	país	paises	Cplus	pais
pt	número	número	Cplus	numer
pt	número	numero	Cplus	numer
pt	número	números	Cplus	numer
pt	número	numeros	Cplus	numer
pt	código	código	Cplus	codig
pt	código	codigo	Cplus	codig
pt	código	códigos	Cplus	codig
pt	código	codigos	Cplus	codig
pt	página	página	Cplus	pagin
pt	página	pagina	Cplus	pagin
pt	página	páginas	Cplus	pagin
pt	página	paginas	Cplus	pagin
pt	área	área	Cplus	are
pt	área	area	Cplus	are
pt	área	áreas	Cplus	are
pt	área	areas	Cplus	are
pt	história	história	Cplus	histor
pt	história	historia	Cplus	histor
pt	história	histórias	Cplus	histor
pt	história	historias	Cplus	histor
pt	família	família	Cplus	famil
pt	família	familia	Cplus	famil
pt	família	famílias	Cplus	famil
pt	família	familias	Cplus	famil
pt	documento	documento	Cplus	document
pt	documento	documentos	Cplus	document
pt	três	três	Cplus	tres
pt	três	tres	Cplus	tres
pt	cidade	cidade	Cplus	cidad
pt	cidade	cidades	Cplus	cidad
pt	exame	exame	Cplus	exam
pt	exame	exames	Cplus	exam
pt	informação	informação	Dplus	informaca
pt	informação	informacao	Dplus	informaca
pt	informação	informações	Dplus	informaco
pt	informação	informacoes	Dplus	informaco
pt	administração	administração	Dplus	administraca
pt	administração	administracao	Dplus	administraca
pt	administração	administrações	Dplus	administraco
pt	administração	administracoes	Dplus	administraco
pt	café	café	Dplus	caf
pt	café	cafés	Dplus	caf
pt	coração	coração	Dplus	coraca
pt	coração	coracao	Dplus	coraca
pt	coração	corações	Dplus	coraco
pt	coração	coracoes	Dplus	coraco
pt	decisão	decisão	Dplus	decisa
pt	decisão	decisao	Dplus	decisa
pt	decisão	decisões	Dplus	deciso
pt	decisão	decisoes	Dplus	deciso
pt	questão	questão	Dplus	questa
pt	questão	questao	Dplus	questa
pt	questão	questões	Dplus	questo
pt	questão	questoes	Dplus	questo
pt	situação	situação	Dplus	situaca
pt	situação	situacao	Dplus	situaca
pt	situação	situações	Dplus	situaco
pt	situação	situacoes	Dplus	situaco
pt	país	país	Dplus	pais
pt	país	pais	Dplus	pais
pt	país	países	Dplus	pais
pt	país	paises	Dplus	pais
pt	número	número	Dplus	numer
pt	número	numero	Dplus	numer
pt	número	números	Dplus	numer
pt	número	numeros	Dplus	numer
pt	código	código	Dplus	codig
pt	código	codigo	Dplus	codig
pt	código	códigos	Dplus	codig
pt	código	codigos	Dplus	codig
pt	página	página	Dplus	pagin
pt	página	pagina	Dplus	pagin
pt	página	páginas	Dplus	pagin
pt	página	paginas	Dplus	pagin
pt	área	área	Dplus	are
pt	área	area	Dplus	are
pt	área	áreas	Dplus	are
pt	área	areas	Dplus	are
pt	história	história	Dplus	histor
pt	história	historia	Dplus	histor
pt	história	histórias	Dplus	histor
pt	história	historias	Dplus	histor
pt	família	família	Dplus	famil
pt	família	familia	Dplus	famil
pt	família	famílias	Dplus	famil
pt	família	familias	Dplus	famil
pt	documento	documento	Dplus	document
pt	documento	documentos	Dplus	document
pt	três	três	Dplus	tres
pt	três	tres	Dplus	tres
pt	cidade	cidade	Dplus	cidad
pt	cidade	cidades	Dplus	cidad
pt	exame	exame	Dplus	exam
pt	exame	exames	Dplus	exam
